time,open,high,low,close
1733353200,665.32,666.52,643.01,654.16
1733356800,655.11,657.75,639.78,640.34
1733360400,641.49,642.07,624.12,638.88
1733364000,637.27,670.48,636.19,656.33
1733367600,656.33,679.27,656,664.12
1733371200,664.32,687.13,661.01,673.88
1733374800,673.79,677.76,657.25,664.26
1733378400,664.75,667.21,654.54,662.93
1733382000,662.39,671.68,658.17,669.33
1733385600,669.52,680,666.84,671.34
1733389200,670.24,672,663,664.09
1733392800,664.07,667.15,660.84,664.06
1733396400,664.17,676.08,662.6,674.14
1733400000,673.38,684.84,672.65,680.99
1733403600,680,693.8,676.41,690
1733407200,691.5,693,678.77,688.99
1733410800,688.5,699.99,682.97,696
1733414400,696,725,694.34,716.79
1733418000,716.78,721,706.13,713.43
1733421600,714,723.39,701.72,702.19
1733425200,702.25,703.9,678,683.7
1733428800,683.03,699.36,668.25,692.04
1733432400,692.05,701.34,682.46,685.97
1733436000,685.85,692.61,650,678.94
1733439600,678.25,698.26,667,680.56
1733443200,680.52,720,672.02,716.26
1733446800,716.21,737,711,726.58
1733450400,726.57,727.14,716,721.91
1733454000,721.94,729.22,709.35,729.22
1733457600,728.3,744.9,722.34,738.65
1733461200,738.3,740.65,725.14,726.22
1733464800,726.44,728.22,719.37,719.68
1733468400,719.67,728.93,715.02,728.01
1733472000,727.98,730.66,720,721.91
1733475600,722.32,728.47,707.93,722.98
1733479200,723.06,735.3,713.63,732.71
1733482800,732.7,742.89,725.92,727.85
1733486400,727.98,741.85,709.25,711.26
1733490000,711.46,730.99,700,715.34
1733493600,715.37,719.77,703.34,715.05
1733497200,713.35,721.73,705.24,711.73
1733500800,711.84,721.67,705.02,718.45
1733504400,718.46,729.8,714.93,723.75
1733508000,723.84,726.69,709.15,709.15
1733511600,709.1,713.76,704.82,710.37
1733515200,710.16,718.37,704.17,707.64
1733518800,707.55,711.35,699.04,701.55
1733522400,701.77,711.02,701.77,708.76
1733526000,708.6,712.25,701,706.53
1733529600,706.56,711.89,700.25,702.21
1733533200,702.13,706.05,700.31,704.63
1733536800,704.36,713.23,701.53,708.35
1733540400,708.42,708.67,698.01,707.28
1733544000,707.31,718,703.15,707.18
1733547600,705.56,715.34,704.53,711.81
1733551200,711.75,715.82,704.62,715.11
1733554800,714.93,718.57,707.81,709.54
1733558400,709.51,712.61,700.31,702.97
1733562000,703.1,706.61,696.28,699.62
1733565600,699.54,700,694.62,699.05
1733569200,699.08,704.25,696.42,701.26
1733572800,701.14,707.32,699.25,702.52
1733576400,703.64,706.36,702.29,705.15
1733580000,705.12,706.81,696,704.52
1733583600,704.53,704.87,696.01,704.72
1733587200,704.77,705.79,694,694.01
1733590800,694,694.63,685.97,688.57
